Fecha,CE05_IP21_552TI289 IP_ANALOGMAP
2022-07-24,507.54704911943713
2022-07-25,494.39324097502777
2022-07-26,482.8798266938102
2022-07-27,493.60477741081496
2022-07-28,505.26730545958026
2022-07-29,497.3372600232107
2022-07-30,499.71823749641067
2022-07-31,504.939471462691
2022-08-01,501.33704646123806
2022-08-02,513.3538531764277
2022-08-03,504.46205165833675
2022-08-04,504.7482082701008
2022-08-05,521.2776729193778
2022-08-06,523.9313794652626
2022-08-07,526.0627614805347
2022-08-08,525.6210292307329
2022-08-09,521.7782295026522
2022-08-10,529.7550511781418
2022-08-11,530.8082641878452
2022-08-12,496.9511207413071
2022-08-13,522.194681505246
2022-08-14,524.7000154759432
2022-08-15,543.584588946394
2022-08-16,550.5605193936216
2022-08-17,551.5382612451239
2022-08-18,550.272708224171
2022-08-19,556.5137699360035
